code;nom;province;region;adresse
B16;Lam's PC Forever;Liège;Wallonie;rue des 7 Bonniers, 25 - 4684 Haccourt (Pistes du B09)
B37;Le Carreau Hannutois;Liège;Wallonie;rue Lambert Mottart, 21 - 4280 Hannut
B49;Le Muguet Laminois;Liège;Wallonie;rue de la Victoire, 64 - 4350 Remicourt
B45;Les Boutons D'Or;Liège;Wallonie;rue du Beau Site, 25 - 4400 Flemalle
B14;Les Cigales De Boncelles;Liège;Wallonie;rue Victor Yansenne - 4510 Beyne-Heusay (Pistes du B43)
B04;Marius Petank's Club Omal;Liège;Wallonie;rue Jules Stiernet, 82 - 4252 Omal
B03;P.C. Beyne;Liège;Wallonie;rue Victor Yansenne, 2 - 4610 Beyne-Heusay
B10;PC Boulewanis;Liège;Wallonie;Rue du Brouck, 12 - 4300 Waremme
B08;PC Esneux;Liège;Wallonie;rue d'Evieux, 51 - 4130 Esneux
B26;PC La Romseenne;Liège;Wallonie;Avenue Thomas Leclercq, 28b - 4624 Romsee
B40;PC Mabotte;Liège;Wallonie;rue Waleffe, 86 - 4101 Jemeppe Sur Meuse
B17;PC Malmedy;Liège;Wallonie;rue Frédéric Lang - 4960 Malmedy
B41;PC Moha;Liège;Wallonie;rue des Bruyères, 500a - 4520 Moha
B27;PC Oreye;Liège;Wallonie;Grand Route, 132/4 - 4360 Oreye
B12;PC Sprimont;Liège;Wallonie;rue Neronry, 21 - 4140 Sprimont
B11;PC Tivoli - Herbesthal;Liège;Wallonie;rue de la Gare, 20 - 4710 Herbesthal
B15;Petanque New Esneux;Liège;Wallonie;rue d'Evieux, 51 - 4130 Esneux
B05;Pétanque Club La Boule Vottemoise D'Herstal;Liège;Wallonie;rue Haute Marexhe, 142 - 4040 Herstal
B30;Royal PC Wanze;Liège;Wallonie;rue Arthur Galand, 26a - 4520 Wanze
B06;Royal Petanque Club Embourg;Liège;Wallonie;rue des Coquelicots, 2 - 4053 Embourg
B43;Royal Petanque Club La Moisson;Liège;Wallonie;rue Victor Yansenne, 2- 4610 Beyne-Heusay
B23;Royale Petanque Hutoise;Liège;Wallonie;rue de la Campagne, 36 - 4500 Huy
E09;Abc Durbuy PC;Luxembourg;Wallonie;Fond Sainte-Anne, 3 - 6940 Durbuy-Bohon
E07;Arel Boules Club;Luxembourg;Wallonie;La Cova - Chemin de la Hart - 6700 Arlon (Eté) - La Grange - Rue de Schoppach - 6700 Arlon (Hiver)
E03;La Boule Bastognarde;Luxembourg;Wallonie;Rue de la Californie, 42 - 6600 Bastogne
E12;La Boule Feodale Latour;Luxembourg;Wallonie;Rue Baillet-Latour , 26A - 6761 Latour
E01;La Mechoise;Luxembourg;Wallonie;rue de Launoy - 6769 Meix-Devant-Virton
E05;Les 3 Frontieres Longeau;Luxembourg;Wallonie;rue d'Athus, 8 - 6780 Longeau
E02;PC Gouvy;Luxembourg;Wallonie;rue d'Houffalize, 22 - 6670 Gouvy
E10;PC Lhomme;Luxembourg;Wallonie;Rue de la Lhomme, 53E - 5580 Jemelle
E11;PC Rochefortois;Luxembourg;Wallonie;Rue de la Lhomme, 53E - 5580 Jemelle
E04;PC Saint-Hubert;Luxembourg;Wallonie;Avenue des Chasseurs Ardennais, 7 - 6870 Saint-Hubert
E08;PC Val D'Attert;Luxembourg;Wallonie;Voie de la Liberté, 115 - 6717 Attert
E06;Royal PC Aubange;Luxembourg;Wallonie;Rue du Stade - 6790 Aubange
D08;ASBL Petanque Beauraing;Namur;Wallonie;rue Lieutenant Tholomé, 23 Bte 35 - 5570 Baronville (Beauraing)
D18;La Fanny Nismoise;Namur;Wallonie;Parc communal - 5670 Nismes
D09;La Petanque Belgradoise;Namur;Wallonie;rue des Tautis, 1 - 5020 Belgrade
D06;Le Cochonnet Mosan;Namur;Wallonie;Avenue des Combattants - 5500 Dinant
D04;New PC Velainois;Namur;Wallonie;rue Jules Destrée, 19 - 5060 Velaine-Sur-Sambre
D07;PC Les Crayas;Namur;Wallonie;Parc communal de Nismes , 1 - 5670 Nismes (Eté) - rue de la Gare, 101 - 5670 Treignes (Hiver)
D05;Petanque Club Tamines Sambre;Namur;Wallonie;rue de l'Ecluse, 1/A - 5060 Tamines (Sambreville)
D02;Royal Petanque Club Saint-Servais;Namur;Wallonie;Rue du Beau-Vallon, 162 - 5002 Saint-Servais
D03;Royal Pitchoun Petanque Club ASBL;Namur;Wallonie;rue Baivy, 26/28 - 5100 Jambes
